Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	0.5	NY.ADJ.DPEM.GN.ZS	Adjusted savings: particulate emission damage (% of GNI)	0.15	-0.7915	1991 - 2010	2004 - 2023
2	0.45	SH.STA.BASS.ZS	People using at least basic sanitation services (% of population)	0.95	0.8399	2002 - 2021	2004 - 2023
3	0.4286	SH.STA.BASS.UR.ZS	People using at least basic sanitation services, urban (% of urban population)	0.4	0.8743	2001 - 2020	2004 - 2023
4	0.4	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.3	-0.782	2001 - 2020	2004 - 2023
5	0.3917	NV.MNF.MTRN.ZS.UN	Machinery and transport equipment (% of value added in manufacturing)	0.65	-0.2375	2001 - 2020	2004 - 2023
6	0.3784	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	1.0	0.8558	2002 - 2021	2004 - 2023
7	0.3726	SH.STA.SMSS.ZS	People using safely managed sanitation services (% of population)	1.0	0.9038	2002 - 2021	2004 - 2023
8	0.3717	FD.RES.LIQU.AS.ZS	Bank liquid reserves to bank assets ratio (%)	0.95	-0.3092	2003 - 2022	2004 - 2023
9	0.37	EG.CFT.ACCS.UR.ZS	Access to clean fuels and technologies for cooking, urban (% of urban population)	1.0	0.8046	2002 - 2021	2004 - 2023
10	0.37	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.85	-0.5945	2001 - 2020	2004 - 2023
11	0.3678	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	0.95	-0.6305	2001 - 2020	2004 - 2023
12	0.3616	SH.HIV.ARTC.ZS	Antiretroviral therapy coverage (% of people living with HIV)	1.0	0.8455	2003 - 2022	2004 - 2023
13	0.36	NV.MNF.FBTO.ZS.UN	Food, beverages and tobacco (% of value added in manufacturing)	1.0	0.2134	2001 - 2020	2004 - 2023
14	0.36	SH.STA.STNT.ME.ZS	Prevalence of stunting, height for age (modeled estimate, % of children under 5)	1.0	-0.8317	2003 - 2022	2004 - 2023
15	0.3594	SH.STA.OWGH.ME.ZS	Prevalence of overweight (modeled estimate, % of children under 5)	0.9	-0.6279	2001 - 2020	2004 - 2023
16	0.3538	SH.H2O.SMDW.ZS	People using safely managed drinking water services (% of population)	0.7	0.7601	2001 - 2020	2004 - 2023
17	0.3535	NV.MNF.CHEM.ZS.UN	Chemicals (% of value added in manufacturing)	0.9	-0.3109	2001 - 2020	2004 - 2023
18	0.3474	EG.CFT.ACCS.RU.ZS	Access to clean fuels and technologies for cooking, rural (% of rural population)	1.0	0.8421	2003 - 2022	2004 - 2023
19	0.3467	SH.STA.BASS.RU.ZS	People using at least basic sanitation services, rural (% of rural population)	0.95	0.8453	2002 - 2021	2004 - 2023
20	0.3453	SH.STA.SMSS.UR.ZS	People using safely managed sanitation services, urban (% of urban population)	0.9	0.886	2003 - 2022	2004 - 2023
