Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.5236	1989 - 2008	2004 - 2023
2	1.0	SL.EMP.MPYR.MA.ZS	Employers, male (% of male employment) (modeled ILO estimate)	0.1	-0.1635	1992 - 2011	2004 - 2023
3	0.5	SE.XPD.TOTL.GD.ZS	Government expenditure on education, total (% of GDP)	0.15	-0.5523	1999 - 2018	2004 - 2023
4	0.5	SH.STA.BASS.UR.ZS	People using at least basic sanitation services, urban (% of urban population)	0.15	-0.8054	2001 - 2020	2004 - 2023
5	0.5	SH.STA.SMSS.UR.ZS	People using safely managed sanitation services, urban (% of urban population)	0.15	-0.8054	2001 - 2020	2004 - 2023
6	0.5	SH.H2O.SMDW.ZS	People using safely managed drinking water services (% of population)	0.25	0.7769	2001 - 2020	2004 - 2023
7	0.5	SH.STA.BASS.RU.ZS	People using at least basic sanitation services, rural (% of rural population)	0.15	0.5477	2001 - 2020	2004 - 2023
8	0.3883	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.65	-0.6066	2002 - 2021	2004 - 2023
9	0.379	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.55	-0.8455	2001 - 2020	2004 - 2023
10	0.3743	SE.PRM.UNER.ZS	Children out of school (% of primary school age)	0.4	-0.3639	2003 - 2022	2004 - 2023
11	0.3556	SH.IMM.HEPB	Immunization, HepB3 (% of one-year-old children)	0.95	0.5118	2001 - 2020	2004 - 2023
12	0.3521	FM.AST.PRVT.GD.ZS	Monetary Sector credit to private sector (% GDP)	1.0	-0.2302	2004 - 2023	2004 - 2023
13	0.3521	FS.AST.PRVT.GD.ZS	Domestic credit to private sector (% of GDP)	1.0	-0.2302	2004 - 2023	2004 - 2023
14	0.352	NY.GDP.DISC.KN	Discrepancy in expenditure estimate of GDP (constant LCU)	0.3	0.1809	1971 - 1990	2004 - 2023
15	0.3511	FD.AST.PRVT.GD.ZS	Domestic credit to private sector by banks (% of GDP)	1.0	-0.2267	2004 - 2023	2004 - 2023
16	0.3505	FS.AST.CGOV.GD.ZS	Claims on central government, etc. (% GDP)	1.0	0.6414	2004 - 2023	2004 - 2023
17	0.3483	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.35	0.3223	2003 - 2022	2004 - 2023
18	0.3474	FM.AST.NFRG.CN	Net foreign assets (current LCU)	1.0	-0.0826	2004 - 2023	2004 - 2023
19	0.3474	FM.AST.DOMS.CN	Net domestic credit (current LCU)	1.0	0.8654	2004 - 2023	2004 - 2023
20	0.3389	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	1.0	-0.8403	2002 - 2021	2004 - 2023
