Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.5002	1989 - 2008	2004 - 2023
2	1.0	SH.DYN.0509	Probability of dying among children ages 5-9 years (per 1,000)	0.1	-0.82	1991 - 2010	2004 - 2023
3	0.5	SH.DYN.1014	Probability of dying among adolescents ages 10-14 years (per 1,000)	0.15	-0.8441	1991 - 2010	2004 - 2023
4	0.5	TM.VAL.AGRI.ZS.UN	Agricultural raw materials imports (% of merchandise imports)	0.15	-0.7215	2003 - 2022	2004 - 2023
5	0.5	SH.STA.OWGH.ME.ZS	Prevalence of overweight (modeled estimate, % of children under 5)	0.15	0.8079	2002 - 2021	2004 - 2023
6	0.4	SH.STA.STNT.ME.ZS	Prevalence of stunting, height for age (modeled estimate, % of children under 5)	0.3	-0.7797	2001 - 2020	2004 - 2023
7	0.3927	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.6	-0.7136	2001 - 2020	2004 - 2023
8	0.3825	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.45	-0.6314	2001 - 2020	2004 - 2023
9	0.38	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	0.9	-0.808	2001 - 2020	2004 - 2023
10	0.3568	FS.AST.CGOV.GD.ZS	Claims on central government, etc. (% GDP)	1.0	0.2936	2004 - 2023	2004 - 2023
11	0.3568	AG.PRD.LVSK.XD	Livestock production index (2014-2016 = 100)	1.0	0.435	2002 - 2021	2004 - 2023
12	0.3532	FD.AST.PRVT.GD.ZS	Domestic credit to private sector by banks (% of GDP)	1.0	0.3555	2004 - 2023	2004 - 2023
13	0.3494	FM.AST.PRVT.GD.ZS	Monetary Sector credit to private sector (% GDP)	0.95	0.4373	2002 - 2021	2004 - 2023
14	0.3494	FS.AST.PRVT.GD.ZS	Domestic credit to private sector (% of GDP)	0.95	0.4373	2002 - 2021	2004 - 2023
15	0.3483	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.35	0.0732	2003 - 2022	2004 - 2023
16	0.3479	AG.PRD.CROP.XD	Crop production index (2014-2016 = 100)	1.0	-0.2229	2002 - 2021	2004 - 2023
17	0.3474	AG.PRD.CREL.MT	Cereal production (metric tons)	1.0	-0.2048	2003 - 2022	2004 - 2023
18	0.3474	AG.LND.CREL.HA	Land under cereal production (hectares)	1.0	-0.0786	2003 - 2022	2004 - 2023
19	0.3474	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	1.0	0.893	2003 - 2022	2004 - 2023
20	0.3474	FM.AST.NFRG.CN	Net foreign assets (current LCU)	1.0	0.6937	2004 - 2023	2004 - 2023
