Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	SH.TBS.DTEC.ZS	Tuberculosis case detection rate (%, all forms)	0.1	0.4693	2003 - 2022	2004 - 2023
2	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.46	1989 - 2008	2004 - 2023
3	1.0	NY.GDP.TOTL.RT.ZS	Total natural resources rents (% of GDP)	0.1	-0.6299	1976 - 1995	2004 - 2023
4	1.0	NY.GDP.MINR.RT.ZS	Mineral rents (% of GDP)	0.1	-0.6077	1976 - 1995	2004 - 2023
5	0.4179	SE.SEC.UNER.LO.ZS	Adolescents out of school (% of lower secondary school age)	0.75	-0.0933	2001 - 2020	2004 - 2023
6	0.415	SE.XPD.TOTL.GD.ZS	Government expenditure on education, total (% of GDP)	0.55	0.0284	2000 - 2019	2004 - 2023
7	0.3881	SE.PRM.ENRR.MA	School enrollment, primary, male (% gross)	0.85	0.5677	2001 - 2020	2004 - 2023
8	0.3811	SE.SEC.CMPT.LO.MA.ZS	Lower secondary completion rate, male (% of relevant age group)	0.95	-0.1058	2002 - 2021	2004 - 2023
9	0.3722	SE.PRM.ENRR	School enrollment, primary (% gross)	0.95	0.5331	2001 - 2020	2004 - 2023
10	0.368	SE.ENR.TERT.FM.ZS	School enrollment, tertiary (gross), gender parity index (GPI)	0.3	-0.1625	2002 - 2021	2004 - 2023
11	0.3647	FM.AST.PRVT.GD.ZS	Monetary Sector credit to private sector (% GDP)	1.0	-0.3558	2004 - 2023	2004 - 2023
12	0.3647	FS.AST.PRVT.GD.ZS	Domestic credit to private sector (% of GDP)	1.0	-0.3558	2004 - 2023	2004 - 2023
13	0.3643	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.75	-0.0607	2001 - 2020	2004 - 2023
14	0.3637	FD.AST.PRVT.GD.ZS	Domestic credit to private sector by banks (% of GDP)	1.0	-0.3558	2004 - 2023	2004 - 2023
15	0.3629	SE.SEC.ENRR.FE	School enrollment, secondary, female (% gross)	0.9	0.1117	2003 - 2022	2004 - 2023
16	0.3584	SE.TER.ENRR	School enrollment, tertiary (% gross)	1.0	0.6314	2003 - 2022	2004 - 2023
17	0.3567	EG.ELC.RNEW.ZS	Renewable electricity output (% of total electricity output)	0.35	0.6688	1996 - 2015	2004 - 2023
18	0.3558	SE.SEC.CMPT.LO.FE.ZS	Lower secondary completion rate, female (% of relevant age group)	1.0	-0.1893	2003 - 2022	2004 - 2023
19	0.3517	EG.ELC.RNWX.ZS	Electricity production from renewable sources, excluding hydroelectric (% of total)	0.35	0.6688	1996 - 2015	2004 - 2023
20	0.35	SE.PRM.CMPT.ZS	Primary completion rate, total (% of relevant age group)	1.0	0.2975	2002 - 2021	2004 - 2023
