Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.5305	1989 - 2008	2004 - 2023
2	0.5	MS.MIL.XPND.GD.ZS	Military expenditure (% of GDP)	0.15	-0.549	1961 - 1980	2004 - 2023
3	0.5	SE.PRM.PRS5.ZS	Persistence to grade 5, total (% of cohort)	0.15	0.7516	1987 - 2006	2004 - 2023
4	0.4222	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.5	-0.7716	2003 - 2022	2004 - 2023
5	0.4	SH.STA.SMSS.ZS	People using safely managed sanitation services (% of population)	0.55	0.7048	2003 - 2022	2004 - 2023
6	0.3846	SH.H2O.SMDW.ZS	People using safely managed drinking water services (% of population)	0.7	0.6604	2002 - 2021	2004 - 2023
7	0.3675	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.85	-0.5259	2001 - 2020	2004 - 2023
8	0.3647	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	0.9	-0.6949	2002 - 2021	2004 - 2023
9	0.3612	SH.STA.MMRT.NE	Maternal mortality ratio (national estimate, per 100,000 live births)	0.9	0.037	1997 - 2016	2004 - 2023
10	0.3583	SE.XPD.CTOT.ZS	Current education expenditure, total (% of total expenditure in public institutions)	0.95	-0.2398	2002 - 2021	2004 - 2023
11	0.3575	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.65	-0.5387	2001 - 2020	2004 - 2023
12	0.3563	SL.EMP.SMGT.FE.ZS	Female share of employment in senior and middle management (%)	1.0	0.5684	2001 - 2020	2004 - 2023
13	0.3537	SE.XPD.CTER.ZS	Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)	1.0	0.45	2000 - 2019	2004 - 2023
14	0.3526	CM.MKT.LCAP.GD.ZS	Market capitalization of listed domestic companies (% of GDP)	1.0	-0.1826	1983 - 2002	2004 - 2023
15	0.3521	CM.MKT.TRAD.GD.ZS	Stocks traded, total value (% of GDP)	1.0	0.5418	1984 - 2003	2004 - 2023
16	0.3519	FS.AST.CGOV.GD.ZS	Claims on central government, etc. (% GDP)	0.85	0.5434	2004 - 2023	2004 - 2023
17	0.3517	SE.XPD.CSEC.ZS	Current education expenditure, secondary (% of total expenditure in secondary public institutions)	0.95	-0.4022	2002 - 2021	2004 - 2023
18	0.35	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.35	-0.0806	2003 - 2022	2004 - 2023
19	0.3474	CM.MKT.TRAD.CD	Stocks traded, total value (current US$)	1.0	0.5617	1985 - 2004	2004 - 2023
20	0.3474	CM.MKT.LCAP.CD	Market capitalization of listed domestic companies (current US$)	1.0	0.0835	1985 - 2004	2004 - 2023
