Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	SH.TBS.DTEC.ZS	Tuberculosis case detection rate (%, all forms)	0.1	0.4975	2003 - 2022	2004 - 2023
2	1.0	EG.ELC.ACCS.UR.ZS	Access to electricity, urban (% of urban population)	0.1	-0.4975	2003 - 2022	2004 - 2023
3	1.0	SL.FAM.WORK.FE.ZS	Contributing family workers, female (% of female employment) (modeled ILO estimate)	0.1	-0.4586	1992 - 2011	2004 - 2023
4	1.0	MS.MIL.TOTL.TF.ZS	Armed forces personnel (% of total labor force)	0.1	-0.5687	1992 - 2011	2004 - 2023
5	0.5	SP.POP.GROW	Population growth (annual %)	0.15	-0.0367	2003 - 2022	2004 - 2023
6	0.3985	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.7	-0.3971	2001 - 2020	2004 - 2023
7	0.3747	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	0.9	-0.4665	2001 - 2020	2004 - 2023
8	0.371	SH.XPD.CHEX.GD.ZS	Current health expenditure (% of GDP)	0.55	0.6419	2002 - 2021	2004 - 2023
9	0.3521	SE.PRE.ENRR.FE	School enrollment, preprimary, female (% gross)	1.0	0.4918	2000 - 2019	2004 - 2023
10	0.3514	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.4	0.1145	2003 - 2022	2004 - 2023
11	0.3514	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.75	-0.5101	2001 - 2020	2004 - 2023
12	0.3474	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	1.0	0.4728	2003 - 2022	2004 - 2023
13	0.3474	SH.XPD.OOPC.PP.CD	Out-of-pocket expenditure per capita, PPP (current international $)	1.0	0.5623	2003 - 2022	2004 - 2023
14	0.3474	SH.XPD.CHEX.PC.CD	Current health expenditure per capita (current US$)	1.0	0.6798	2003 - 2022	2004 - 2023
15	0.3474	SH.XPD.CHEX.PP.CD	Current health expenditure per capita, PPP (current international $)	1.0	0.6545	2003 - 2022	2004 - 2023
16	0.3426	SE.PRE.ENRR	School enrollment, preprimary (% gross)	1.0	0.4114	2001 - 2020	2004 - 2023
17	0.342	SE.ENR.PRIM.FM.ZS	School enrollment, primary (gross), gender parity index (GPI)	0.3	-0.4745	2001 - 2020	2004 - 2023
18	0.34	SE.PRE.ENRR.MA	School enrollment, preprimary, male (% gross)	1.0	0.4106	2001 - 2020	2004 - 2023
19	0.3333	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.2	-0.5533	2001 - 2020	2004 - 2023
20	0.3333	SH.STA.SMSS.ZS	People using safely managed sanitation services (% of population)	0.2	0.5725	2001 - 2020	2004 - 2023
