Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	SH.TBS.DTEC.ZS	Tuberculosis case detection rate (%, all forms)	0.1	-0.0401	2003 - 2022	2004 - 2023
2	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.003	1989 - 2008	2004 - 2023
3	0.5	SH.STA.BASS.ZS	People using at least basic sanitation services (% of population)	0.25	-0.6722	2003 - 2022	2004 - 2023
4	0.4411	SH.STA.SMSS.UR.ZS	People using safely managed sanitation services, urban (% of urban population)	1.0	-0.649	2002 - 2021	2004 - 2023
5	0.4054	SH.STA.OWGH.ME.ZS	Prevalence of overweight (modeled estimate, % of children under 5)	0.7	-0.5155	2002 - 2021	2004 - 2023
6	0.38	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.3	-0.6693	2002 - 2021	2004 - 2023
7	0.3691	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.6	-0.358	2003 - 2022	2004 - 2023
8	0.368	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	0.8	0.4998	2003 - 2022	2004 - 2023
9	0.3663	SH.STA.SMSS.ZS	People using safely managed sanitation services (% of population)	1.0	-0.6489	2002 - 2021	2004 - 2023
10	0.3505	FD.AST.PRVT.GD.ZS	Domestic credit to private sector by banks (% of GDP)	1.0	0.0585	2004 - 2023	2004 - 2023
11	0.3489	FM.AST.PRVT.GD.ZS	Monetary Sector credit to private sector (% GDP)	1.0	0.0571	2004 - 2023	2004 - 2023
12	0.3489	FS.AST.PRVT.GD.ZS	Domestic credit to private sector (% of GDP)	1.0	0.0571	2004 - 2023	2004 - 2023
13	0.3474	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	1.0	-0.7633	2003 - 2022	2004 - 2023
14	0.3474	FM.AST.NFRG.CN	Net foreign assets (current LCU)	1.0	-0.4688	2004 - 2023	2004 - 2023
15	0.3474	FM.AST.DOMS.CN	Net domestic credit (current LCU)	1.0	0.6887	2004 - 2023	2004 - 2023
16	0.3467	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.65	0.6752	2001 - 2020	2004 - 2023
17	0.3453	FS.AST.CGOV.GD.ZS	Claims on central government, etc. (% GDP)	1.0	0.4911	2003 - 2022	2004 - 2023
18	0.335	SH.HIV.ARTC.ZS	Antiretroviral therapy coverage (% of people living with HIV)	0.85	-0.4815	2001 - 2020	2004 - 2023
19	0.3333	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.2	0.0829	2001 - 2020	2004 - 2023
20	0.3333	SH.STA.ODFC.RU.ZS	People practicing open defecation, rural (% of rural population)	0.2	0.6935	2001 - 2020	2004 - 2023
