Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.3693	1989 - 2008	2004 - 2023
2	0.5233	NY.ADJ.DFOR.CD	Adjusted savings: net forest depletion (current US$)	0.2	0.2312	2002 - 2021	2004 - 2023
3	0.5	BX.TRF.PWKR.DT.GD.ZS	Personal remittances, received (% of GDP)	0.15	-0.379	1971 - 1990	2004 - 2023
4	0.424	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.55	-0.1188	2001 - 2020	2004 - 2023
5	0.4	SE.SEC.UNER.LO.ZS	Adolescents out of school (% of lower secondary school age)	0.3	-0.0157	2003 - 2022	2004 - 2023
6	0.3987	SL.EMP.SMGT.FE.ZS	Female share of employment in senior and middle management (%)	0.8	0.2204	2002 - 2021	2004 - 2023
7	0.3825	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.25	0.0356	2003 - 2022	2004 - 2023
8	0.3807	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.8	-0.1868	2003 - 2022	2004 - 2023
9	0.3594	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	0.95	-0.2403	2003 - 2022	2004 - 2023
10	0.3511	SH.XPD.OOPC.PP.CD	Out-of-pocket expenditure per capita, PPP (current international $)	1.0	0.0293	2003 - 2022	2004 - 2023
11	0.3493	SH.H2O.SMDW.ZS	People using safely managed drinking water services (% of population)	0.75	0.2088	2001 - 2020	2004 - 2023
12	0.3484	FD.AST.PRVT.GD.ZS	Domestic credit to private sector by banks (% of GDP)	1.0	0.2789	2004 - 2023	2004 - 2023
13	0.3474	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	1.0	0.3026	2003 - 2022	2004 - 2023
14	0.3474	FM.AST.NFRG.CN	Net foreign assets (current LCU)	1.0	0.1445	2004 - 2023	2004 - 2023
15	0.3474	SH.XPD.CHEX.PC.CD	Current health expenditure per capita (current US$)	1.0	0.5896	2003 - 2022	2004 - 2023
16	0.3474	FM.AST.DOMS.CN	Net domestic credit (current LCU)	1.0	0.2028	2004 - 2023	2004 - 2023
17	0.3474	SH.XPD.CHEX.PP.CD	Current health expenditure per capita, PPP (current international $)	1.0	0.1949	2003 - 2022	2004 - 2023
18	0.3458	FM.AST.PRVT.GD.ZS	Monetary Sector credit to private sector (% GDP)	1.0	0.282	2004 - 2023	2004 - 2023
19	0.3458	FS.AST.PRVT.GD.ZS	Domestic credit to private sector (% of GDP)	1.0	0.282	2004 - 2023	2004 - 2023
20	0.3389	FS.AST.CGOV.GD.ZS	Claims on central government, etc. (% GDP)	1.0	-0.0297	2003 - 2022	2004 - 2023
