Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.4331	1989 - 2008	2004 - 2023
2	1.0	NY.ADJ.DFOR.GN.ZS	Adjusted savings: net forest depletion (% of GNI)	0.1	-0.6543	1996 - 2015	2004 - 2023
3	1.0	NY.GDP.FRST.RT.ZS	Forest rents (% of GDP)	0.1	-0.6947	1996 - 2015	2004 - 2023
4	1.0	EN.GHG.CO2.RT.GDP.KD	Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)	0.1	-0.7863	1991 - 2010	2004 - 2023
5	0.5	SE.ENR.PRSC.FM.ZS	School enrollment, primary and secondary (gross), gender parity index (GPI)	0.15	-0.8632	1996 - 2015	2004 - 2023
6	0.5	NY.ADJ.DRES.GN.ZS	Adjusted savings: natural resources depletion (% of GNI)	0.15	-0.7084	1996 - 2015	2004 - 2023
7	0.4737	SH.STA.BASS.ZS	People using at least basic sanitation services (% of population)	1.0	0.9116	2002 - 2021	2004 - 2023
8	0.45	SE.PRM.ENRL.FE.ZS	Primary education, pupils (% female)	0.2	0.3519	1992 - 2011	2004 - 2023
9	0.4444	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.95	0.8726	2002 - 2021	2004 - 2023
10	0.4286	SE.SEC.ENRL.FE.ZS	Secondary education, pupils (% female)	0.4	-0.9292	1996 - 2015	2004 - 2023
11	0.411	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.55	-0.8575	2003 - 2022	2004 - 2023
12	0.4	SH.H2O.SMDW.UR.ZS	People using safely managed drinking water services, urban (% of urban population)	0.8	0.8324	2002 - 2021	2004 - 2023
13	0.4	SH.STA.BASS.UR.ZS	People using at least basic sanitation services, urban (% of urban population)	0.55	0.9128	2001 - 2020	2004 - 2023
14	0.4	SH.H2O.BASW.UR.ZS	People using at least basic drinking water services, urban (% of urban population)	0.55	0.8881	2001 - 2020	2004 - 2023
15	0.3757	PA.NUS.FCRF	Official exchange rate (LCU per US$, period average)	0.4	-0.7252	1994 - 2013	2004 - 2023
16	0.3753	IT.NET.BBND.P2	Fixed broadband subscriptions (per 100 people)	0.8	0.765	2003 - 2022	2004 - 2023
17	0.3753	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.9	0.0233	2001 - 2020	2004 - 2023
18	0.3711	SH.STA.SMSS.ZS	People using safely managed sanitation services (% of population)	1.0	0.8944	2002 - 2021	2004 - 2023
19	0.3653	SH.HIV.ARTC.ZS	Antiretroviral therapy coverage (% of people living with HIV)	1.0	0.8994	2003 - 2022	2004 - 2023
20	0.3625	TX.VAL.MRCH.RS.ZS	Merchandise exports by the reporting economy, residual (% of total merchandise exports)	0.25	-0.498	1993 - 2012	2004 - 2023
