Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.4634	1989 - 2008	2004 - 2023
2	1.0	SH.DYN.AIDS.FE.ZS	Women&#x27;s share of population ages 15+ living with HIV (%)	0.1	0.222	1991 - 2010	2004 - 2023
3	1.0	SH.DYN.1519	Probability of dying among adolescents ages 15-19 years (per 1,000)	0.1	-0.6955	1991 - 2010	2004 - 2023
4	1.0	TX.VAL.MRCH.R5.ZS	Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)	0.1	-0.215	1961 - 1980	2004 - 2023
5	0.5	SH.STA.BASS.ZS	People using at least basic sanitation services (% of population)	0.15	-0.7091	2001 - 2020	2004 - 2023
6	0.4286	SH.STA.OWGH.ME.ZS	Prevalence of overweight (modeled estimate, % of children under 5)	0.4	0.6917	2001 - 2020	2004 - 2023
7	0.4	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.3	-0.7499	2002 - 2021	2004 - 2023
8	0.3821	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.75	-0.6926	2003 - 2022	2004 - 2023
9	0.3744	SE.XPD.CPRM.ZS	Current education expenditure, primary (% of total expenditure in primary public institutions)	0.5	0.6441	2001 - 2020	2004 - 2023
10	0.3736	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	0.75	-0.7365	2001 - 2020	2004 - 2023
11	0.3729	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.75	-0.654	2003 - 2022	2004 - 2023
12	0.36	SH.STA.MMRT.NE	Maternal mortality ratio (national estimate, per 100,000 live births)	0.9	-0.4262	1995 - 2014	2004 - 2023
13	0.355	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.35	-0.2178	2003 - 2022	2004 - 2023
14	0.3528	SL.EMP.SMGT.FE.ZS	Female share of employment in senior and middle management (%)	0.95	0.5676	2002 - 2021	2004 - 2023
15	0.3506	SE.XPD.CSEC.ZS	Current education expenditure, secondary (% of total expenditure in secondary public institutions)	0.95	0.3014	2000 - 2019	2004 - 2023
16	0.3474	IS.SHP.GOOD.TU	Container port traffic (TEU: 20 foot equivalent units)	1.0	0.7873	2003 - 2022	2004 - 2023
17	0.3474	FM.AST.NFRG.CN	Net foreign assets (current LCU)	1.0	0.654	2004 - 2023	2004 - 2023
18	0.3474	FM.AST.DOMS.CN	Net domestic credit (current LCU)	1.0	0.7541	2004 - 2023	2004 - 2023
19	0.3467	NY.ADJ.DMIN.CD	Adjusted savings: mineral depletion (current US$)	0.35	-0.0968	1971 - 1990	2004 - 2023
20	0.3421	FD.AST.PRVT.GD.ZS	Domestic credit to private sector by banks (% of GDP)	1.0	-0.5239	2002 - 2021	2004 - 2023
