Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	SH.TBS.DTEC.ZS	Tuberculosis case detection rate (%, all forms)	0.1	-0.1601	2003 - 2022	2004 - 2023
2	0.705	TX.VAL.MRCH.R5.ZS	Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)	0.15	-0.6386	1961 - 1980	2004 - 2023
3	0.5	PA.NUS.PPPC.RF	Price level ratio of PPP conversion factor (GDP) to market exchange rate	0.15	-0.0245	2003 - 2022	2004 - 2023
4	0.5	SH.STA.SMSS.ZS	People using safely managed sanitation services (% of population)	0.25	0.5162	2003 - 2022	2004 - 2023
5	0.49	TM.TAX.MANF.WM.AR.ZS	Tariff rate, applied, weighted mean, manufactured products (%)	0.2	-0.4587	1996 - 2015	2004 - 2023
6	0.4036	FD.RES.LIQU.AS.ZS	Bank liquid reserves to bank assets ratio (%)	0.75	-0.4762	2002 - 2021	2004 - 2023
7	0.3773	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.6	-0.576	2003 - 2022	2004 - 2023
8	0.375	SH.XPD.GHED.CH.ZS	Domestic general government health expenditure (% of current health expenditure)	0.45	0.5239	2001 - 2020	2004 - 2023
9	0.375	SH.XPD.PVTD.CH.ZS	Domestic private health expenditure (% of current health expenditure)	0.45	-0.5318	2001 - 2020	2004 - 2023
10	0.37	SH.XPD.OOPC.CH.ZS	Out-of-pocket expenditure (% of current health expenditure)	0.55	-0.5163	2003 - 2022	2004 - 2023
11	0.3668	FS.AST.DOMS.GD.ZS	Domestic credit provided by financial sector (% of GDP)	1.0	0.0349	2004 - 2023	2004 - 2023
12	0.3642	SL.EMP.SMGT.FE.ZS	Female share of employment in senior and middle management (%)	1.0	0.3467	2003 - 2022	2004 - 2023
13	0.3619	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	0.85	-0.3209	2002 - 2021	2004 - 2023
14	0.3619	SH.XPD.CHEX.GD.ZS	Current health expenditure (% of GDP)	0.85	0.0731	2003 - 2022	2004 - 2023
15	0.3618	SH.XPD.GHED.GD.ZS	Domestic general government health expenditure (% of GDP)	0.6	0.1192	2003 - 2022	2004 - 2023
16	0.3517	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.35	-0.494	2003 - 2022	2004 - 2023
17	0.3514	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.4	0.4123	2003 - 2022	2004 - 2023
18	0.35	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.4	-0.3092	2003 - 2022	2004 - 2023
19	0.3495	FS.AST.DOMO.GD.ZS	Claims on other sectors of the domestic economy (% of GDP)	1.0	0.3147	2003 - 2022	2004 - 2023
20	0.3489	SH.XPD.PVTD.PC.CD	Domestic private health expenditure per capita (current US$)	1.0	0.7573	2003 - 2022	2004 - 2023
