Rank	Importance	Indicator ID	Indicator Name	R2	COR	X Period	Y Period
1	1.0	TM.TAX.MANF.SR.ZS	Share of tariff lines with specific rates, manufactured products (%)	0.1	-0.4827	1989 - 2008	2004 - 2023
2	0.5	SH.H2O.SMDW.ZS	People using safely managed drinking water services (% of population)	0.15	0.8446	2002 - 2021	2004 - 2023
3	0.4163	SH.STA.OWGH.ME.ZS	Prevalence of overweight (modeled estimate, % of children under 5)	0.85	-0.818	2002 - 2021	2004 - 2023
4	0.408	EG.ELC.RNWX.ZS	Electricity production from renewable sources, excluding hydroelectric (% of total)	0.3	0.8016	1996 - 2015	2004 - 2023
5	0.4	SH.STA.STNT.ME.ZS	Prevalence of stunting, height for age (modeled estimate, % of children under 5)	0.8	-0.8344	2002 - 2021	2004 - 2023
6	0.39	SG.GEN.PARL.ZS	Proportion of seats held by women in national parliaments (%)	0.8	0.7631	2003 - 2022	2004 - 2023
7	0.3789	IT.NET.BBND.P2	Fixed broadband subscriptions (per 100 people)	1.0	0.9289	2004 - 2023	2004 - 2023
8	0.3583	TX.VAL.ICTG.ZS.UN	ICT goods exports (% of total goods exports)	0.65	-0.1426	2003 - 2022	2004 - 2023
9	0.3511	TM.VAL.ICTG.ZS.UN	ICT goods imports (% total goods imports)	0.5	0.0184	2003 - 2022	2004 - 2023
10	0.3486	SH.H2O.BASW.ZS	People using at least basic drinking water services (% of population)	0.4	0.0791	2003 - 2022	2004 - 2023
11	0.3474	IT.NET.BBND	Fixed broadband subscriptions	1.0	0.9263	2004 - 2023	2004 - 2023
12	0.3474	NY.TRF.NCTR.KN	Net secondary income (Net current transfers from abroad) (constant LCU)	1.0	0.6124	1993 - 2012	2004 - 2023
13	0.3474	SH.TBS.INCD	Incidence of tuberculosis (per 100,000 people)	1.0	-0.8925	2003 - 2022	2004 - 2023
14	0.3474	FD.RES.LIQU.AS.ZS	Bank liquid reserves to bank assets ratio (%)	1.0	-0.7221	2004 - 2023	2004 - 2023
15	0.3456	SH.HIV.ARTC.ZS	Antiretroviral therapy coverage (% of people living with HIV)	0.95	0.8106	2002 - 2021	2004 - 2023
16	0.3333	EG.EGY.PRIM.PP.KD	Energy intensity level of primary energy (MJ/$2017 PPP GDP)	0.5	-0.8613	2001 - 2020	2004 - 2023
17	0.3333	SE.COM.DURS	Compulsory education, duration (years)	0.2	0.6773	2000 - 2019	2004 - 2023
18	0.2778	GC.AST.TOTL.GD.ZS	Net acquisition of financial assets (% of GDP)	0.95	-0.0352	2001 - 2020	2004 - 2023
19	0.2632	SL.EMP.SMGT.FE.ZS	Female share of employment in senior and middle management (%)	1.0	0.2533	2002 - 2021	2004 - 2023
20	0.2621	GC.LBL.TOTL.GD.ZS	Net incurrence of liabilities, total (% of GDP)	1.0	0.221	2001 - 2020	2004 - 2023
